,Location,Subcategory,Hierarchy_Level,Year,RSP_USD_Mnl,Volume
338,2,6,2,2024,146.0,15.0
339,2,6,2,2025,150.0,16.0
340,2,6,2,2026,154.0,16.0
341,3,6,2,2016,290.0,79.0
342,3,6,2,2017,306.0,77.0
343,3,6,2,2018,312.0,75.0
344,3,6,2,2019,297.0,71.0
345,3,6,2,2020,298.0,70.0
346,3,6,2,2021,300.0,70.0
347,3,6,2,2022,302.0,71.0
348,3,6,2,2023,304.0,72.0
349,3,6,2,2024,308.0,74.0
350,3,6,2,2025,312.0,75.0
351,3,6,2,2026,320.0,77.0
352,4,6,2,2016,253.0,57.0
353,4,6,2,2017,255.0,56.0
354,4,6,2,2018,272.0,58.0
355,4,6,2,2019,289.0,59.0
356,4,6,2,2020,295.0,59.0
357,4,6,2,2021,313.0,61.0
358,4,6,2,2022,314.0,63.0
359,4,6,2,2023,325.0,64.0
360,4,6,2,2024,338.0,66.0
361,4,6,2,2025,353.0,68.0
362,4,6,2,2026,370.0,70.0
363,5,6,2,2016,2215.0,652.0
364,5,6,2,2017,2174.0,639.0
365,5,6,2,2018,2192.0,635.0
366,5,6,2,2019,2203.0,652.0
367,5,6,2,2020,2300.0,678.0
368,5,6,2,2021,2331.0,689.0
369,5,6,2,2022,2455.0,719.0
370,5,6,2,2023,2594.0,752.0
371,5,6,2,2024,2748.0,788.0
372,5,6,2,2025,2909.0,824.0
373,5,6,2,2026,3035.0,860.0
374,6,6,2,2016,1736.0,211.0
375,6,6,2,2017,1893.0,227.0
376,6,6,2,2018,2048.0,241.0
377,6,6,2,2019,2211.0,252.0
378,6,6,2,2020,2300.0,256.0
379,6,6,2,2021,2336.0,253.0
380,6,6,2,2022,2371.0,253.0
381,6,6,2,2023,2433.0,258.0
382,6,6,2,2024,2509.0,265.0
383,6,6,2,2025,2591.0,273.0
384,6,6,2,2026,2669.0,280.0
385,7,6,2,2016,3864.0,466.0
386,7,6,2,2017,3699.0,449.0
387,7,6,2,2018,3597.0,438.0
388,7,6,2,2019,3682.0,441.0
389,7,6,2,2020,3718.0,440.0
390,7,6,2,2021,3737.0,440.0
391,7,6,2,2022,3759.0,442.0
392,7,6,2,2023,3784.0,444.0
393,7,6,2,2024,3815.0,446.0
394,7,6,2,2025,3853.0,449.0
395,7,6,2,2026,3893.0,452.0
396,1,7,2,2016,1487.0,313.0
397,1,7,2,2017,1522.0,325.0
398,1,7,2,2018,1466.0,322.0
399,1,7,2,2019,1549.0,335.0
400,1,7,2,2020,1595.0,341.0
401,1,7,2,2021,1651.0,352.0
402,1,7,2,2022,1713.0,363.0
403,1,7,2,2023,1769.0,374.0
404,1,7,2,2024,1818.0,384.0
405,1,7,2,2025,1862.0,393.0
406,1,7,2,2026,1899.0,401.0
407,2,7,2,2016,19.0,6.0
408,2,7,2,2017,20.0,7.0
409,2,7,2,2018,23.0,7.0
410,2,7,2,2019,24.0,8.0
411,2,7,2,2020,26.0,8.0
412,2,7,2,2021,27.0,9.0
413,2,7,2,2022,29.0,9.0
414,2,7,2,2023,31.0,10.0
415,2,7,2,2024,33.0,10.0
416,2,7,2,2025,36.0,11.0
417,2,7,2,2026,38.0,12.0
418,3,7,2,2016,607.0,302.0
419,3,7,2,2017,585.0,276.0
420,3,7,2,2018,584.0,266.0
421,3,7,2,2019,566.0,261.0
422,3,7,2,2020,628.0,289.0
423,3,7,2,2021,714.0,330.0
424,3,7,2,2022,799.0,374.0
425,3,7,2,2023,885.0,419.0
426,3,7,2,2024,969.0,465.0
427,3,7,2,2025,1046.0,507.0
428,3,7,2,2026,1112.0,543.0
429,4,7,2,2016,220.0,76.0
430,4,7,2,2017,258.0,88.0
431,4,7,2,2018,373.0,128.0
432,4,7,2,2019,478.0,159.0
433,4,7,2,2020,557.0,184.0
434,4,7,2,2021,635.0,204.0
435,4,7,2,2022,715.0,223.0
436,4,7,2,2023,805.0,246.0
437,4,7,2,2024,910.0,272.0
438,4,7,2,2025,956.0,286.0
439,4,7,2,2026,1012.9999999999999,301.0
440,5,7,2,2016,2.722,1.367
441,5,7,2,2017,2.747,1.396
442,5,7,2,2018,2.873,1.466
443,5,7,2,2019,2.807,1.539
444,5,7,2,2020,3.161,1.592
445,5,7,2,2021,3.047,1.631
446,5,7,2,2022,3.116,1.698
447,5,7,2,2023,3.201,1.782
448,5,7,2,2024,3.319,1.884
449,5,7,2,2025,3.443,1.997
450,5,7,2,2026,3.5,2.008
451,6,7,2,2016,465.0,109.0
452,6,7,2,2017,460.0,109.0
453,6,7,2,2018,461.0,109.0
454,6,7,2,2019,468.0,110.0
455,6,7,2,2020,466.0,109.0
456,6,7,2,2021,451.0,108.0
457,6,7,2,2022,454.0,107.0
458,6,7,2,2023,468.0,109.0
459,6,7,2,2024,488.0,113.0
460,6,7,2,2025,515.0,119.0
461,6,7,2,2026,549.0,126.0
462,7,7,2,2016,3.945,1.015
463,7,7,2,2017,3.959,1.051
464,7,7,2,2018,4.069,1.093
465,7,7,2,2019,4.3,1.145
466,7,7,2,2020,4.492,1.196
467,7,7,2,2021,4.623,1.235
468,7,7,2,2022,4.812,1.278
469,7,7,2,2023,4.996,1.321
470,7,7,2,2024,5.171,1.364
471,7,7,2,2025,5.351,1.41
472,7,7,2,2026,5.529,1.456
473,1,8,2,2016,146.339,67.92
474,1,8,2,2017,152.804,70.12
475,1,8,2,2018,156.539,70.003
476,1,8,2,2019,161.183,68.254
477,1,8,2,2020,165.601,66.955
478,1,8,2,2021,171.188,67.712
479,1,8,2,2022,177.307,68.575
480,1,8,2,2023,182.742,69.173
481,1,8,2,2024,188.53,69.733
482,1,8,2,2025,194.15,70.237
483,1,8,2,2026,199.651,70.725
484,2,8,2,2016,13.255,1.849
485,2,8,2,2017,13.471,1.862
486,2,8,2,2018,13.49,1.843
487,2,8,2,2019,13.495,1.836
488,2,8,2,2020,13.674,1.854
489,2,8,2,2021,13.887,1.866
490,2,8,2,2022,14.352,1.881
491,2,8,2,2023,14.844,1.893
492,2,8,2,2024,15.336,1.904
493,2,8,2,2025,15.835,1.915
494,2,8,2,2026,16.343,1.925
495,3,8,2,2016,46.762,24.111
496,3,8,2,2017,46.369,23.084
497,3,8,2,2018,44.534,21.704
498,3,8,2,2019,41.19,20.316
499,3,8,2,2020,41.689,20.214
500,3,8,2,2021,41.76,19.937
501,3,8,2,2022,41.666,19.883
502,3,8,2,2023,41.438,19.773
503,3,8,2,2024,41.316,19.716
504,3,8,2,2025,41.272,19.701
505,3,8,2,2026,41.357,19.718
506,4,8,2,2016,104.023,31.491
507,4,8,2,2017,108.682,31.131
508,4,8,2,2018,119.486,32.084
509,4,8,2,2019,129.026,32.097
510,4,8,2,2020,113.889,31.097
511,4,8,2,2021,112.24,31.695
512,4,8,2,2022,114.562,32.349
513,4,8,2,2023,117.926,33.051
514,4,8,2,2024,121.704,33.806
515,4,8,2,2025,125.788,34.605
516,4,8,2,2026,129.985,35.405
517,5,8,2,2016,34.293,11.68
518,5,8,2,2017,35.645,12.082
519,5,8,2,2018,36.614,12.461
520,5,8,2,2019,37.211,12.829
521,5,8,2,2020,38.759,13.247
522,5,8,2,2021,39.744,13.703
523,5,8,2,2022,41.666,14.21
524,5,8,2,2023,43.725,14.756
525,5,8,2,2024,45.872,15.305
526,5,8,2,2025,47.899,15.823
527,5,8,2,2026,49.669,16.317
528,6,8,2,2016,97.84,24.18
529,6,8,2,2017,95.195,23.626
530,6,8,2,2018,94.285,23.532
531,6,8,2,2019,94.822,23.577
532,6,8,2,2020,94.517,23.507
533,6,8,2,2021,93.485,23.312
534,6,8,2,2022,93.585,23.193
535,6,8,2,2023,93.888,23.113
536,6,8,2,2024,94.267,23.062
537,6,8,2,2025,94.666,23.028
538,6,8,2,2026,94.971,22.992
539,7,8,2,2016,108.364,23.159
540,7,8,2,2017,106.941,22.753
541,7,8,2,2018,107.434,22.701
542,7,8,2,2019,107.594,22.65
543,7,8,2,2020,108.713,22.707
544,7,8,2,2021,109.24,22.691
545,7,8,2,2022,110.35,22.736
546,7,8,2,2023,111.457,22.79
547,7,8,2,2024,112.58,22.859
548,7,8,2,2025,113.724,22.933
549,7,8,2,2026,114.956,23.017
550,1,9,2,2016,820.0,68.0
551,1,9,2,2017,1130.0,95.0
552,1,9,2,2018,1887.0,166.0
553,1,9,2,2019,2787.0,240.0
554,1,9,2,2020,3638.0,309.0
555,1,9,2,2021,4862.0,421.0
556,1,9,2,2022,5964.0,518.0
557,1,9,2,2023,7275.0,635.0
558,1,9,2,2024,8760.0,767.0
559,1,9,2,2025,10387.0,914.0
560,1,9,2,2026,12.091,1.071
561,2,9,2,2016,2243.0,231.0
562,2,9,2,2017,2443.0,245.0
563,2,9,2,2018,2637.0,257.0
564,2,9,2,2019,2848.0,270.0
565,2,9,2,2020,3107.0,287.0
566,2,9,2,2021,3378.0,307.0
567,2,9,2,2022,3717.0,328.0
568,2,9,2,2023,4075.9999999999995,348.0
569,2,9,2,2024,4459.0,369.0
570,2,9,2,2025,4861.0,390.0
571,2,9,2,2026,5277.0,411.0
572,3,9,2,2016,740.0,213.0
573,3,9,2,2017,781.0,224.0
574,3,9,2,2018,820.0,237.0
575,3,9,2,2019,797.0,234.0
576,3,9,2,2020,841.0,246.0
577,3,9,2,2021,892.0,257.0
578,3,9,2,2022,929.0,269.0
579,3,9,2,2023,966.0,281.0
580,3,9,2,2024,1006.0,294.0
581,3,9,2,2025,1044.0,308.0
582,3,9,2,2026,1085.0,321.0
583,4,9,2,2016,520.0,63.0
584,4,9,2,2017,558.0,67.0
585,4,9,2,2018,600.0,70.0
586,4,9,2,2019,648.0,75.0
