Location,Subcategory_ID,Hierarchy_Level,Global_Brand_Owner,Year,Volume_Kl
8,13,1,Cervejaria PetrÃ³polis SA,2020,1568.590103
8,13,1,Cervejaria PetrÃ³polis SA,2021,1574.269942
8,13,1,Anadolu Group,2017,2033.004838
8,13,1,Anadolu Group,2018,1840.203488
8,13,1,Anadolu Group,2019,1533.329993
8,13,1,Anadolu Group,2020,1489.012658
8,13,1,Anadolu Group,2021,1481.195742
8,13,1,Suntory Holdings Ltd,2017,1672.663711
8,13,1,Suntory Holdings Ltd,2018,1679.903232
8,13,1,Suntory Holdings Ltd,2019,1571.970234
8,13,1,Suntory Holdings Ltd,2020,1465.432566
8,13,1,Suntory Holdings Ltd,2021,1435.9174
8,13,1,Oetker-Gruppe,2017,1239.484205
8,13,1,Oetker-Gruppe,2018,1255.419627
8,13,1,Oetker-Gruppe,2019,1259.301769
8,13,1,Oetker-Gruppe,2020,1266.592758
8,13,1,Oetker-Gruppe,2021,1282.895178
8,13,1,UB Group,2017,1194.108747
8,13,1,UB Group,2018,1271.330155
8,13,1,UB Group,2019,1306.249574
8,13,1,UB Group,2020,1209.021052
8,13,1,UB Group,2021,1234.925948
8,13,1,Henan Jinxing Brewery Group,2017,1466.889895
8,13,1,Henan Jinxing Brewery Group,2018,1246.850049
8,13,1,Henan Jinxing Brewery Group,2019,1309.192531
8,13,1,Henan Jinxing Brewery Group,2020,1267.298475
8,13,1,Henan Jinxing Brewery Group,2021,1193.79515
8,13,1,Guangzhou Zhujiang Brewery Co Ltd,2017,1114.000003
8,13,1,Guangzhou Zhujiang Brewery Co Ltd,2018,1169.899968
8,13,1,Guangzhou Zhujiang Brewery Co Ltd,2019,1159.8001
8,13,1,Guangzhou Zhujiang Brewery Co Ltd,2020,1162.000001
8,13,1,Guangzhou Zhujiang Brewery Co Ltd,2021,1150.379981
8,13,1,Grupo Mahou-San Miguel SA,2017,1013.664177
8,13,1,Grupo Mahou-San Miguel SA,2018,1043.24071
8,13,1,Grupo Mahou-San Miguel SA,2019,1096.147569
8,13,1,Grupo Mahou-San Miguel SA,2020,1124.932192
8,13,1,Grupo Mahou-San Miguel SA,2021,1146.067453
8,13,1,Boon Rawd Brewery Co Ltd,2017,1158.897097
8,13,1,Boon Rawd Brewery Co Ltd,2018,1148.548319
8,13,1,Boon Rawd Brewery Co Ltd,2019,1061.411451
8,13,1,Boon Rawd Brewery Co Ltd,2020,1058.234892
8,13,1,Boon Rawd Brewery Co Ltd,2021,1073.574964
8,13,1,Blue Ribbon Intermediate Holdings LLC,2018,1071.769067
8,13,1,Blue Ribbon Intermediate Holdings LLC,2019,1067.608989
8,13,1,Blue Ribbon Intermediate Holdings LLC,2020,1057.514164
8,13,1,Blue Ribbon Intermediate Holdings LLC,2021,1045.440358
8,13,1,Thai Beverage PCL,2017,746.2283689
8,13,1,Thai Beverage PCL,2018,766.8533686
8,13,1,Thai Beverage PCL,2019,696.2219372
8,13,1,Thai Beverage PCL,2020,865.6826272
8,13,1,Thai Beverage PCL,2021,879.9499271
8,13,1,Sapporo Holdings Ltd,2017,826.0124871
8,13,1,Sapporo Holdings Ltd,2018,801.6581697
8,13,1,Sapporo Holdings Ltd,2019,806.6886868
8,13,1,Sapporo Holdings Ltd,2020,810.5897645
8,13,1,Sapporo Holdings Ltd,2021,824.7866057
8,13,1,CÃ­a CervecerÃ­as Unidas SA,2017,718.0454368
8,13,1,CÃ­a CervecerÃ­as Unidas SA,2018,715.8983261
8,13,1,CÃ­a CervecerÃ­as Unidas SA,2019,712.516307
8,13,1,CÃ­a CervecerÃ­as Unidas SA,2020,731.8890975
8,13,1,CÃ­a CervecerÃ­as Unidas SA,2021,799.66365
8,13,1,Bitburger Braugruppe GmbH,2017,745.2843241
8,13,1,Bitburger Braugruppe GmbH,2018,743.1523474
8,13,1,Bitburger Braugruppe GmbH,2019,731.1315535
8,13,1,Bitburger Braugruppe GmbH,2020,725.1578828
8,13,1,Bitburger Braugruppe GmbH,2021,720.2606063
8,13,1,Hite Jinro Co Ltd,2017,732.9620025
8,13,1,Hite Jinro Co Ltd,2018,685.8049165
8,13,1,Hite Jinro Co Ltd,2019,697.0103022
8,13,1,Hite Jinro Co Ltd,2020,690.4372295
8,13,1,Hite Jinro Co Ltd,2021,699.336869
8,13,1,Oettinger Brauerei GmbH,2017,737.3719296
8,13,1,Oettinger Brauerei GmbH,2018,726.890867
8,13,1,Oettinger Brauerei GmbH,2019,704.0464743
8,13,1,Oettinger Brauerei GmbH,2020,694.8648763
8,13,1,Oettinger Brauerei GmbH,2021,682.0603075
8,13,1,Hanoi Alcohol Beer & Beverages Corp (Habeco),2017,554.5742363
8,13,1,Hanoi Alcohol Beer & Beverages Corp (Habeco),2018,581.2855096
8,13,1,Hanoi Alcohol Beer & Beverages Corp (Habeco),2019,615.4574058
8,13,1,Hanoi Alcohol Beer & Beverages Corp (Habeco),2020,636.1810202
8,13,1,Hanoi Alcohol Beer & Beverages Corp (Habeco),2021,655.1885367
8,13,1,Obolon PAT,2017,1013.852916
8,13,1,Obolon PAT,2018,854.3615055
8,13,1,Obolon PAT,2019,681.0390166
8,13,1,Obolon PAT,2020,646.7147587
8,13,1,Obolon PAT,2021,621.0087241
8,13,1,Empresas Polar CA,2017,1693.194512
8,13,1,Empresas Polar CA,2018,1702.378448
8,13,1,Empresas Polar CA,2019,1531.597684
8,13,1,Empresas Polar CA,2020,722.5236832
8,13,1,Empresas Polar CA,2021,569.9124944
8,13,1,Krombacher Brauerei Bhd Schadeberg GmbH & Co KG,2017,549.6672704
8,13,1,Krombacher Brauerei Bhd Schadeberg GmbH & Co KG,2018,563.1752032
8,13,1,Krombacher Brauerei Bhd Schadeberg GmbH & Co KG,2019,564.7628024
8,13,1,Krombacher Brauerei Bhd Schadeberg GmbH & Co KG,2020,566.944143
8,13,1,Krombacher Brauerei Bhd Schadeberg GmbH & Co KG,2021,569.7411608
8,13,1,Cia da UniÃ£o de Cervejas de Angola SA,2017,412.2678204
8,13,1,Cia da UniÃ£o de Cervejas de Angola SA,2018,428.1654913
8,13,1,Cia da UniÃ£o de Cervejas de Angola SA,2019,436.4930258
8,13,1,Cia da UniÃ£o de Cervejas de Angola SA,2020,462.8558782
8,13,1,Cia da UniÃ£o de Cervejas de Angola SA,2021,483.412736
8,13,1,Damm SA,2017,417.2358885
8,13,1,Damm SA,2018,433.9325943
8,13,1,Damm SA,2019,455.742397
8,13,1,Damm SA,2020,468.6986827
8,13,1,Damm SA,2021,475.9446041
8,13,1,Paulaner Brauerei GmbH & Co KG,2017,341.647091
8,13,1,Paulaner Brauerei GmbH & Co KG,2018,355.5642604
8,13,1,Paulaner Brauerei GmbH & Co KG,2019,355.5409159
8,13,1,Paulaner Brauerei GmbH & Co KG,2020,363.4124195
8,13,1,Paulaner Brauerei GmbH & Co KG,2021,371.7678259
8,13,1,Florida Ice & Farm Co SA,2017,353.1974287
8,13,1,Florida Ice & Farm Co SA,2018,347.821739
8,13,1,Florida Ice & Farm Co SA,2019,343.4664515
8,13,1,Florida Ice & Farm Co SA,2020,340.9287456
8,13,1,Florida Ice & Farm Co SA,2021,336.1435034
8,13,1,Brauerei C & A Veltins GmbH & Co KG,2017,294.8506913
8,13,1,Brauerei C & A Veltins GmbH & Co KG,2018,309.8340382
8,13,1,Brauerei C & A Veltins GmbH & Co KG,2019,315.1159447
8,13,1,Brauerei C & A Veltins GmbH & Co KG,2020,321.7639738
8,13,1,Brauerei C & A Veltins GmbH & Co KG,2021,328.7439399
8,13,1,Taiwan Tobacco & Liquor Corp,2017,331.4440549
8,13,1,Taiwan Tobacco & Liquor Corp,2018,335.751427
8,13,1,Taiwan Tobacco & Liquor Corp,2019,330.782997
8,13,1,Taiwan Tobacco & Liquor Corp,2020,324.576883
8,13,1,Taiwan Tobacco & Liquor Corp,2021,318.9667943
8,13,1,Yuengling Brewery,2017,288.2000083
8,13,1,Yuengling Brewery,2018,307.4599889
8,13,1,Yuengling Brewery,2019,303.1996769
8,13,1,Yuengling Brewery,2020,305.6185323
8,13,1,Yuengling Brewery,2021,315.947774
8,13,1,Warsteiner Brauerei Haus Cramer GmbH & Co KG,2017,373.1071082
8,13,1,Warsteiner Brauerei Haus Cramer GmbH & Co KG,2018,351.1140835
8,13,1,Warsteiner Brauerei Haus Cramer GmbH & Co KG,2019,330.7883498
8,13,1,Warsteiner Brauerei Haus Cramer GmbH & Co KG,2020,318.6190473
8,13,1,Warsteiner Brauerei Haus Cramer GmbH & Co KG,2021,310.944901
8,13,1,Royal Unibrew A/S,2017,342.7395898
8,13,1,Royal Unibrew A/S,2018,340.1306016
8,13,1,Royal Unibrew A/S,2019,323.202504
8,13,1,Royal Unibrew A/S,2020,318.8293076
8,13,1,Royal Unibrew A/S,2021,306.3090177
8,13,1,Olvi Oyj,2017,284.0433572
8,13,1,Olvi Oyj,2018,293.0721589
8,13,1,Olvi Oyj,2019,297.5614709
8,13,1,Olvi Oyj,2020,300.6931483
8,13,1,Olvi Oyj,2021,294.6208987
8,13,1,CervecerÃ­a Centroamericana SA,2017,181.106358
8,13,1,CervecerÃ­a Centroamericana SA,2018,216.2896276
8,13,1,CervecerÃ­a Centroamericana SA,2019,245.3973959
8,13,1,CervecerÃ­a Centroamericana SA,2020,269.7399755
8,13,1,CervecerÃ­a Centroamericana SA,2021,283.9140306
8,13,1,Brau Holding International AG,2017,277.7403196
8,13,1,Brau Holding International AG,2018,277.4249342
8,13,1,Brau Holding International AG,2019,276.3256817
8,13,1,Brau Holding International AG,2020,275.9455684
8,13,1,Brau Holding International AG,2021,278.587016
8,13,1,"Boston Beer Co Inc, The",2017,309.8902541
8,13,1,"Boston Beer Co Inc, The",2018,331.0539183
8,13,1,"Boston Beer Co Inc, The",2019,337.6520125
8,13,1,"Boston Beer Co Inc, The",2020,291.7566834
8,13,1,"Boston Beer Co Inc, The",2021,261.8537004
8,13,1,Bavaria NV,2017,204.5612264
8,13,1,Bavaria NV,2018,203.0770866
8,13,1,Bavaria NV,2019,201.3152256
8,13,1,Bavaria NV,2020,244.5192523
8,13,1,Bavaria NV,2021,252.8129807
8,13,1,BGI Ethiopia Plc,2017,124.9999946
8,13,1,BGI Ethiopia Plc,2018,150.0000031
8,13,1,BGI Ethiopia Plc,2019,199.9999943
8,13,1,BGI Ethiopia Plc,2020,224.6567016
8,13,1,BGI Ethiopia Plc,2021,246.7172076
8,13,1,Ochakovo MPBK ZAO,2017,223.2805292
8,13,1,Ochakovo MPBK ZAO,2018,243.914176
8,13,1,Ochakovo MPBK ZAO,2019,258.0599922
8,13,1,Ochakovo MPBK ZAO,2020,258.0852242
8,13,1,Ochakovo MPBK ZAO,2021,246.0821487
8,13,1,Super Bock Group SGPS SA,2021,221.6799333
